2026-06-16 15:39:24, tokens_remaining: 992, call: events, phase: idle
2026-06-16 15:39:24, EVENT: GOAL 66' Kylian Mbappé (1-0) [France vs Senegal]
2026-06-16 15:39:24, EVENT: EVENT_10 60' Kylian Mbappé [France vs Senegal]
2026-06-16 15:39:24, STATE_CHANGE: France vs Senegal [— -> 2H]
2026-06-16 15:39:26, tokens_remaining: 991, call: scores, phase: playing
2026-06-16 15:39:26, tokens_remaining: 991, call: scores, phase: playing
2026-06-16 15:39:26, tokens_remaining: 991, call: scores, phase: playing
2026-06-16 15:39:27, tokens_remaining: 990, call: scores, phase: playing
2026-06-16 15:39:27, tokens_remaining: 990, call: scores, phase: playing
2026-06-16 15:39:28, tokens_remaining: 990, call: scores, phase: playing
2026-06-16 15:39:28, tokens_remaining: 989, call: scores, phase: playing
2026-06-16 15:39:28, tokens_remaining: 989, call: scores, phase: playing
2026-06-16 15:39:29, tokens_remaining: 988, call: events, phase: playing
2026-06-16 15:39:30, tokens_remaining: 987, call: scores, phase: playing
2026-06-16 15:39:30, tokens_remaining: 987, call: scores, phase: playing
2026-06-16 15:39:30, tokens_remaining: 987, call: scores, phase: playing
2026-06-16 15:39:31, tokens_remaining: 987, call: scores, phase: playing
2026-06-16 15:39:31, tokens_remaining: 986, call: scores, phase: playing
2026-06-16 15:39:32, tokens_remaining: 986, call: scores, phase: playing
2026-06-16 15:39:32, tokens_remaining: 986, call: scores, phase: playing
2026-06-16 15:39:32, tokens_remaining: 986, call: scores, phase: playing
2026-06-16 15:39:33, tokens_remaining: 985, call: scores, phase: playing
2026-06-16 15:39:33, tokens_remaining: 984, call: events, phase: playing
2026-06-16 15:39:34, tokens_remaining: 985, call: scores, phase: playing
2026-06-16 15:39:34, tokens_remaining: 983, call: scores, phase: playing
2026-06-16 15:39:35, tokens_remaining: 983, call: scores, phase: playing
2026-06-16 15:39:35, tokens_remaining: 983, call: scores, phase: playing
2026-06-16 15:39:35, tokens_remaining: 983, call: scores, phase: playing
2026-06-16 15:39:36, tokens_remaining: 982, call: scores, phase: playing
2026-06-16 15:39:36, tokens_remaining: 982, call: scores, phase: playing
2026-06-16 15:39:36, tokens_remaining: 982, call: scores, phase: playing
2026-06-16 15:39:37, tokens_remaining: 982, call: scores, phase: playing
2026-06-16 15:39:37, tokens_remaining: 981, call: events, phase: playing
2026-06-16 15:39:38, tokens_remaining: 980, call: scores, phase: playing
2026-06-16 15:39:38, tokens_remaining: 980, call: scores, phase: playing
2026-06-16 15:39:39, tokens_remaining: 980, call: scores, phase: playing
2026-06-16 15:39:39, tokens_remaining: 980, call: scores, phase: playing
2026-06-16 15:39:39, tokens_remaining: 979, call: scores, phase: playing
2026-06-16 15:39:40, tokens_remaining: 979, call: scores, phase: playing
